Text,Emotion
कैब वाले ने फिर से कैंसिल कर दिया,0
मुझे बहुत गुस्सा आ रहा है ,0
जल्दी कर यार तू रिचार्ज लौड़े ,0
क्या बताओ यार मूड ही ख़राब है ,0
ऐसे कैसे चैनल्स बंद कर दिए आप ,0
मेरा दिमाग खराब हो गया है इसे रास्ता बताते ,0
आप ऐसे कैसे मेरा पैसा काट सकते हो ,0
जल्दी डलवा मेरे पैसे इडियट ,0
तू गधा है क्या ,0
अबे चूतियों वाली बातें मत करो ,0
ये कैब वाला कहा मर गया ,0
मेरा बैलेंस कैसे ख़तम हो सकता है पागल  ,0
मेरा दिमाग ख़राब मत कर और तुरंत रिचार्ज कर   ,0
गवार तू जल्दी रिचार्ज करेगा ,0
इनके सीनियर एग्जीक्यूटिव से कम्प्लेन करनी पड़ेगी ,0
और कितना इंतज़ार करवाओगे भाई ,0
कैसी घटिया सर्विस है तुम्हारी ,0
मैंने 10 बार कम्प्लेन की है लेकिन कुछ हल नहीं निकल रहा ,0
दिमाग मत ख़राब कर और जल्दी रिचार्ज कर ,0
कहाँ से होगा बे तेरा रिचार्ज  ,0
आप अपनी सर्विस अपने पास रखो ,0
यार बार बार इंडिका ही क्यों बुक होता है ,0
क्या बेकार की बातें कर रहे हो ,0
अबे गांडू हो क्या ?,0
अबे रिचार्ज कर चुप चाप से ,0
गधे के बच्चे बता ये प्रॉब्लम कैसे सॉल्व करूँ मैं ,0
ये कैसा घटिया प्लान है ,0
एक बार में समझ नहीं आया बोला रिचार्ज करने तो ,0
यूज़लेस एप ,0
कुछ भी बोल रहे हो यार ,0
गवार एप ,0
मुझे तुमसे बात नहीं करनी है ,0
ये चैनल्स का रेट इतना ज्यादा क्यों कर देते है बार बार ,0
अरे ये चैनल कैसे लॉक हो गया गधे ,0
अबे भोसड़ीके ,0
हरामज़ादे ,0
घटिया सर्विस ,0
चूतिया है क्या ? ,0
एकदम बेकार ,0
कमीने ,0
बहुत परेशान करता है ये एप ,0
वेस्ट ऑफ टाइम,0
जो बोला वो क्यों नहीं करते हो ? ,0
तुम कभी कुछ समझते ही नहीं हो ,0
फ़क ऑफ़ ,0
मै तंग आ चुका हू ,0
तुम एक दम बेवक़ूफ़ हो ,0
बहनचोद  ,0
तुम सबसे वाहियाद हो ,0
हरामी ,0
कैब ड्राइवर के अगेंस्ट एक कंप्लेन करो,0
अबे ये एप्प कितना फसता है ,0
यार कुछ पल्ले ही नहीं पर रहा ,0
ये क्या बकवास है ,0
साले मादरचोद हो तुम ,0
ऐसा लग रहा है दीवार से बात कर रहा हु ,0
बहुत टाइम लग रहा है बुक हने मे ,0
क्या फालतू इंटरफ़ेस है तुम्हारे एप्प का ,0
तबसे एक काम नहीं  कर पा रहे हो तुम ,0
ओय मुझे गधा समझा है क्या ,0
तुमको कुछ समझ में नहीं आता क्या बहनचोद  ,0
लंड बॉट है ये ,0
हमेशा ऐसे कैसे हो जाता है बेवकूफ एप,0
तुमसे अच्छा तोह मै खुद ही कर लूं,0
कम ऑन मैन ,0
बहुत ही बकवास वेबसाइट है तुम्हारा भाई ,0
मादरचोद ,0
तुमसे नहीं हो पायेगा ,0
दुनिया का सबसे बेकार एप्प है तुम्हारा ,0
व्हाट ध फ़क ,0
तुमसे कोई काम न होता भोसड़ीके ,0
अपने आप को समझ क्या रखा है तूने कुत्ते ,0
इत्ता परेशान मै पहले कभी नहीं हुआ ,0
गए गुजरे हो तुम हरामजादे,0
क्या बेकार अप्प है ,0
तुम्हारे वजह से बेज़त्ति हो गयी मेरी,0
मेरा टाइम बर्बाद कर दिया ,0
क्या लूज़र सा एप है ,0
चुतियापा बंध करो तुम्हारा ,0
पागल बना रखा है इस एप ने ,0
मेरी कैब क्यों नहीं आ रही है ,0
कुछ भी नहीं बको बे ,0
कहा मर गए ,0
क्या वाहियात है यार ,0
अबे क्या मुझे तू उल्लू समझ रहा है ,0
अरे ये चैनल्स क्यों नहीं आ रहा चूतिये ,0
लंड जैसा काम किया तुमने ,0
क्या पागलपंती है ये ,0
बहुत ही घटिया एप्प है तुम्हारा ,0
तुमसे अच्छा गधे से काम करा लूं,0
मेरे ट्रैन का बुकिंग फेल हो रहा है बार बार ,0
क्या बेकार रिस्पांस है इस एप का ,0
कभी तो काम के आओ तुम ,0
अभी तक साले ने डिलीवरी नहीं दी ,0
यार क्या घटिया सर्विस है ,0
तुम किसी काम के नहीं हो बहनचोद ,0
इतना मेहेंगा क्यों भोस्डिके ,0
यूज़लेस ,0
मेरे फ्लाइट  का बुकिंग फेल हो रहा है बार बार ,0
अजीब पागल हो तुम बे ,0
कोई काम के नहीं हो तुम ,0
क्या बतमीज़ी है यार ,0
जा नहीं करा रहा मैं रिचार्ज ,0
कितनी बार बोला की मेरा डिश टीवी रिचार्ज करना है ,0
अपना पैक अपने पास रख ,0
नहीं डलवाऊँगा पैसे मैं साले चोर ,0
एक भी सही चीज नहीं बताई तुमने,0
कितनी बार एक ही चीज़ बोलनी पड़ेगी ,0
एप्प बार बार फस क्यों रहा है ,0
कभी तो समझ जा एक बार मे ,0
तू बस अपना पैक्स डिटेल्स दे नालायक ,0
क्या बकवास पैक्स हैं ,0
कुछ काम का नहीं है ये एप ,0
तेरे को एक बार में समझ में नहीं आती क्या ,0
ये कैब कहा रह गया यार ,0
बार बार एक ही चीज़ बोले जा रहे हो ,0
कुछ भी करके मेरे पैसे रिवर्ट कराओ ,0
होते कौन हो आप ऐसा करने वाले ,0
दिमाग खराब कर दिया ,0
मुझे तुम से बहुत शिकायत है ,0
टट्टी एप है ये ,0
मुझे कुछ समझ में नहीं आ रहा है ,0
यार क्या बकवास कर रहे हो तुम ,0
साले मेरा पैसा कब तक आएगा ,0
एक ही बात कितने बार बोलोगे ,0
कब तक एक ही बात बोलोगे ,0
चुप चाप मेरे पैसे लौटा ,0
 तुझे एक बार मैं समझ नहीं आता क्या ,0
बहुत कन्फुसिंग इंटरफ़ेस है तुम्हारा ,0
मै तुमसे बहुत क्रोधित हु ,0
फ्लाइट में बहुत मज़ा आया,1
मदद करने के लिए शुक्रिया ,1
पैसे डलवाने के लिए धन्यवाद मेरे यार ,1
इतना अच्छा सर्विस दिया तो ख़ुशी से मै और पैसे दे दूँ ,1
वूहू ! !,1
ओए होए ! ! ! ,1
यार ये बहुत सही चीज़ है ,1
धन्यवाद मैं खुश हुआ ,1
बढ़िया काम किया भाई ,1
गज़ब का होटल था ,1
तुम बहुत अच्छे हो ,1
बहुत खूब ,1
रिचार्ज करने के लिए धन्यवाद मेरे हीरो ,1
बहुत अच्छा भाई ,1
यार ये तो मख्खन जैसा काम करता है ,1
क्या कमल कर दिया तूने ,1
नाइस ,1
"मज़ा आ गया भाई , पैसे ख़तम भी हो गए पर चैनल्स अभी भी चल रहे ",1
शुक्रिया रिचार्ज करने के लिए दोस्त ,1
पैसे डलवाने के लिए शुक्रिया यारा ,1
इतने काम पैसे में इतना चैनल्स ,1
क्या बात है यार बढ़िया होटल मिल गया ,1
यह होटल काफी अच्छा था ,1
मै खुश हुआ ,1
यीपी ! ! ! मेरा फ्लाइट आखिरकार बुक हो गया ,1
वाह लाजवाब ,1
मुझे तो ये एप्प बहुत अच्छा लगता है ,1
बहुत बढ़िया हुआ कि पैसे समय से पहले आ गए ,1
अरे वाह क्या सर्विस है ,1
वाओ ! ! मेरी ट्रेन जल्दी आ,1
हेल्प करने के लिए धन्यवाद ,1
धन्यवाद भाई ,1
बेस्ट हो तुम  ,1
मेहरबानी आपकी,1
वाकई तारीफ के काबिल है ,1
थैंक्स ,1
तुम बढ़िया हो यार ,1
मदद के लिए धन्यवाद ,1
ये होटल अच्छा है ,1
सारथी की जय हो,1
बहुत मज़ा आया ,1
हुर्रे मस्त कैब मिल गयी ,1
आ हा ! सारथी तुम बेस्ट हो ,1
शाबाश ,1
तुमने तो कमाल कर दिया ,1
बेहतरीन ,1
बड़े मज़ेदार हो तुम ,1
यू आर गुड ,1
थैंक्यू सो मच ,1
दिल जीत लिया तूने ,1
लाजवाब ,1
क्या जोरदार काम किया है भाई,1
ये तो अच्छा है ,1
तुम्हारे काम की दाद देता हूँ,1
थैंकयू सारथी! आय लव यू ! ,1
इन चैनल्स की क्लैरिटी सच में बहुत अच्छी है ,1
आज तो काफी अच्छा ऑफर चल रहे ,1
अच्छे बुकिंग के लिए धन्यवाद ,1
सुन्दर एप है ,1
गुड सर्विस ,1
बहुत ही उन्दा ,1
शुक्रिया तुम्हारा ,1
धन्यवाद सारथि ,1
अच्छी कैब मिल गयी  वाह ! !,1
कितना सही अप्प है यार ,1
आश्चर्यचकित कर दिया तुमने ,1
तू तो बहुत समझदार है ,1
वाह यार सही डिस्काउंट चल रहा ,1
मस्त बारिश हुई आज वाह ,1
धन्यवाद मेरे भाई ,1
आय एम इम्प्रेस्सड  ,1
तुम्हारी सर्विस से हम खुश है,1
माशा अल्लाह ,1
वैरी गुड ,1
यू आर द बेस्ट,1
अरे बढ़िया ,1
ऑटो मिल गया  यीपी ,1
तुम्हारा कोई जवाब नहीं सारथी,1
मै तो बहुत खुश हूँ ये एप्प यूस करके ,1
ये मज़ेदार है ,1
मेरी यात्रा कुशल मंगल थी धन्यवाद  ,1
बैंगलोर की ट्रेन मिल गई यीपी ,1
वाह भाई क्या बढ़िया डील मिली है ,1
ग्रेट एप ,1
थैंक्यू वैरी मच ,1
तुमने मन प्रफुल्लित कर दिया ,1
तुम बढ़िया हो यार ,1
यू अरे सो स्वीट ,1
बेहतरीन ऐप है भाई,1
आपसे बात करके अच्छा लगा ,1
तुम्हारे काम का कोई जवाब नहीं सारथी शाबाश,1
सही है ,1
मुझे फ्लाइट का टिकट मिल गया वाह ,1
आ हा सारथी तुम लाजवाब हो ,1
ओए होए ! ! मेरा ट्रैन टिकट बुक हो गया ,1
मजा आ गया यार ,1
हंसते हंसते मर न जाऊं मै,1
ऐसी सर्विस की उम्मीद थी आपसे ,1
बहुत अच्छा कैब ड्राइवर था ,1
एक नंबर ऑफर मिला है,1
तुम बहुत स्मार्ट हो ,1
बढ़िया डील मिला हमे ,1
तुम तोह काफी इंटेलीजेंट हो ,1
काफी मदद कर दी तूने,1
क्या बात है ,1
माशा अल्लाह क्या काम किया है तुमने ,1
मेरा फ्लाइट आखिरकार बुक हो गया हुर्रे ! ! ,1
ओए होए सारथी तुमने बहुत अच्छा काम किया,1
तुम बड़े मज़ेदार हो ,1
अरे वाह ,1
बहुत ही बढ़िया ,1
होटल तो लाजवाब है ,1
क्या सही एप है ये ,1
तुम तो लाजवाब हो ,1
गुड जॉब ,1
आये होये ! ! ! आज तो तूने दिल जीत लिया भाई ,1
तुम्हरा कोटि कोटि धन्यवाद मेरा अकाउंट रजिस्टर करने के लिए ,1
ऐसे ही सर्विस हमेशा रहे तो क्या बात है ,1
मैं बिलकुल संतुष्ट हूँ इनके सर्विस से ,1
अच्छा हुआ अकाउंट बंद नहीं हुआ ,1
हुर्रे ! ! ! एक नंबर कूपन मिल गया ,1
थैंक्स सारथि,1
दिल खुश कर दिया तूने ,1
आज का मौसम बहुत बढ़िया है यार ,1
मन प्रसन्न हो गया मेरा ,1
तुम्हरा कोटि कोटि धन्यवाद मेरा मोबाइल नंबर रजिस्टर करने के लिए ,1
मेरा ट्रैन टिकट बुक हो गया वाओ ! !  ,1
वाओ बैंगलोर की ट्रेन मिल गई,1
वाओ ! ! ! यार क्या चीज़ बताई है तुमने,1
इतना सुन्दर होटल है ,1
यह तो बहुत अच्छा ऐप है,1
लाजवाब जगह था वह ,1
एक नंबर काम किया है भाई तूने,1
वाओ ! !  ,1
वूहू ! ! मज़ा आ गया ,1
यीपी ! ! ! मै जल्दी घर आ गया ,1
हुर्रे ! ! ! क्या डील मिली है !,1
कैब ड्राइवर बहुत हेल्पिंग था ,1
ये काम बहुत अच्छा किया तूने ,1
भाई तूने मेरी बहुत हेल्प की है ,1
मस्त होटल था यार ,1
अच्छा काम किया भाई ,1
खुश हुआ मैं ,1
आ हा ! ! ! क्या बात है ,1
यीपी  ! ! ! मुझे सस्ती फ्लाइट मिल ,1
वाह ! ! ! क्या मौसम है ,1
वाह ! ! ! सस्ती चीज बता दी यार,1
अरे वाह क्या बात है ,1
अरे वाह इतनी जल्दी हो भी गया ,1
कितना खूबसूरत होटल था ,1
ट्रैन की यात्रा  काफी अच्छी थी ,1
मै सैटिस्फाइड नहीं हु ,2
बहुत ही निराशाजनक अनुभव था हमारा ,2
क्या यार अब तक पैसा नहीं आया ,2
यार कब होगा रिचार्ज मेरे अकाउंट का ,2
कुछ मज़ा नही आया ,2
मुझे सेफ फील नहीं हो रहा था ,2
कितना सड़ा होटल था ,2
रीस्टार्ट करने पे भी नहीं हो रहा ,2
यार मै बहुत परेशान हो गया हु ,2
बहुत ही वाहियाद सर्विस है होटल की  ,2
चेक इन टाइम गलत बताया यार तुमने ,2
मुझे तेरे से और उम्मीद थी यार ,2
उस होटल में मज़ा नहीं आया,2
होटल वाले ने मुझसे ज्यादा पैसा लिया ,2
कैब वाले ने मुझसे टोल टैक्स भरवाया ,2
हमें आपसे ये उम्मीद नहीं थी,2
तुमने मुझे बहुत निराश कर दिया,2
बद्तमीज़ स्टाफ था ,2
इस मौसम के कारण मै पीड़ित हु ,2
काश ये पहले हो जाता ,2
तुमसे ये उम्मीद नहीं थी ,2
कैब के ड्राइवर ने मुझे बीच में ही उतार दिआ,2
मूड ऑफ कर दिया ,2
बेशिस्त ड्राइवर था ,2
कैब लोकेशन पर नहीं पहुंची,2
मेरा होटल में स्टे अच्छा नहीं था ,2
तुम और बेटर कर सकते हो ,2
आजका मौसम गन्दा है ,2
ट्रैन टिकट अपने आप कैंसिल कैसे हो गयी ,2
मेरे को तुम्हारा सर्विस उतना अच्छा नहीं लगा,2
एप में और सुधार लाओ ,2
मुझे तुमसे और एक्सपेक्टेशंस थी ,2
मेरे को तुम्हारा सर्विस पसंद नहीं आया,2
होटल में स्विमिंग पूल और बार नहीं था यार ,2
मै तुमसे नाखुश हू ,2
एप से कुछ हेल्प नहीं मिला ,2
यह तो खराब हुआ,2
बहुत दुखी हूँ मै तुम्हारे कारण,2
शिट यार फिर से चैनल्स बंद हो गए ,2
मेरी किस्मत इतनी ख़राब कैसे है ,2
इस एप को और बेहतर कर सकते हो ,2
ये ऐप कुछ ख़ास नहीं है ,2
टिकट बुक नहीं हुई ,2
होटल की लोकेशन अच्छी नही थी ,2
आज मज़ा नहीं आया ,2
इनका सर्विस समझ के बाहर है ,2
काश ये हो पाता यार ,2
अरे यार ये कैब वाला लगता है परसों आएगा ,2
यार मेरी दिक्कत क्यों नहीं समझ रहे,2
होटल से व्यू अच्छा नहीं था ,2
सर्विस इम्प्रूव करो ,2
थोड़ा और सस्ता फ्लाइट बुक हो सकता था ,2
ड्राइवर ने कैंसिल कर दिया ,2
कैब ड्राइवर ने मुझे गाली दी ,2
शिट यार मेरी फ्लाइट डिले हो गयी ,2
मै अनसैटिस्फाइड हू ,2
भूक लगी है और अब तक डिलीवर नहीं किया खाना ,2
बेकार प्लान है इनका ,2
यार मेरे पैसे वापस कब मिलेंगे ,2
इसके यहाँ से अब सर्विस नहीं लूंगा ,2
कैब वाले ने मुझसे ढंग से बात नहीं की ,2
ड्राइवर का बर्ताव अच्छा नहीं था ,2
कैब वाले ने मुझसे बदतमीजी की ,2
होटल का खाना वाहियात था ,2
एप मे दम नहीं है ,2
मज़ा नहीं आया इस बार,2
होटल वालों का बिहेवियर अच्छा नहीं था,2
परेशान हो गया हूं यार,2
मई बहुत पीड़ित हु,2
ये एप्प कभी भी धोखा दे सकती है ,2
अरे यार कस्टमर केयर को कॉल लगाते लगाते परेशान हो गया हु,2
अरे ये कैसे होगा यार ,2
तुमसे ये उम्मीद नहीं थी ,2
मै नाराज हु,2
कैब अंदर से काफी गन्दी थी ,2
एप्प का परफॉर्मेंस बहुत खराब है ,2
वह होटल बेकार निकला ,2
होटल मेरी एक्सपेक्टेशंस के हिसाब से नहीं था ,2
ट्रैन ने गांड मार कर रखी है ,2
पैसे अभी तक वापस नहीं आए यार ,2
अरे बोलो भाई ,2
ये एप्प बहुत फसने लग गया है यार ,2
सॉरी यार गलती हो गयी ,2
यार फ्लाइट ने जीना हराम कर दिए है ,2
बेकार कैब थी यार,2
आई वॉस एक्सपेक्टिंग मोर,2
मुझे तुमसे ये उम्मीद नहीं थी ,2
तुम बुकिंग करने में इतनी देर क्यों लगाते हो ,2
हमरी यात्रा सुखद नहीं थी ,2
कैब ड्राइवर बुरा था ,2
कैब ड्राइवर गधा था ,2
होटल स्टाफ डिसिप्लिंड नहीं था ,2
ऐसा कैसे चलेगा ,2
आज तक की सबसे बेकार सर्विस थी ,2
गन्दा होटल था ,2
अच्छा एक्सपीरिएंस नहीं था ,2
बेकार एक्सपीरियंस था होटल में ,2
इस सर्विस से काफी नाराज हु मै,2
मै निराश हू ,2
मेरी फ्लाइट २ घंटा डिले हो गयी ,2
फ्लाइट मैं लेगस्पेस इतना काम था ,2
ये कैब फिरसे से टाइम पे बुक नहीं हुई ,2
इतनी गंदगी थी वह पर ,2
मुझे ये एप्प बिलकुल अच्छा नहीं लगा ,2
भाई मुझे एक बात बताओ ,3
मेरी बुकिंग हो गई क्या ,3
मेरे अकाउंट में कितना बैलेंस बचा है ,3
क्या रिचार्ज करना चाहिए ,3
बार बार रीस्टार्ट करने से भी वही दिखा रहा *,3
मेरे अकाउंट में कितना राशि बचा है ,3
अबे एक ओयो बुक कर दो भाई के लिए ,3
मै आगे कैसे बढू ,3
कुछ ऐसा डील दो यार की मजा  जाए ,3
ये चैनल कैसे चालू करूँ ,3
कुछ पैसे है या नहीं मेरे अकाउंट में ,3
कितना पैसा है मेरे अकाउंट में ,3
अंतिम समय कब तक है रिचार्ज करने की ,3
और क्या क्या करता है ये एप,3
ओए एक बुकिंग कर दे कैब की,3
क्या मैं चैनल्स ऐड कर सकता हूँ ,3
मेरे अकाउंट का बैलेंस बताये जरा,3
मेरे अकाउंट में कितना बैलेंस है ,3
जो चैनल मै नहीं देखता उसके पैसे क्यों दू ,3
 प्लीज मेरे लिए बैंगलोर में एक होटेल खोजो ,3
आज का मौसम कैसा है ,3
बड़ी गाड़ी बुक कर सकते हो क्या ,3
इस महीने चल जाएंगे इतने पैसे में ,3
कौन सा प्लान परिवार के हिसाब से सही होगा  ,3
सबसे कम वाली बेस पैक कौन सी है  ,3
आखरी तारीख क्या है बैलेंस एक्सपायर होने में ,3
मेरी ट्रैन टाइम से चल रही है ना ,3
नागपुर से मुंबई की २ फ्लाइट टिकट्स बुक करना,3
बाहर क्या टेंपरेचर है,3
क्या मेरा एक काम करदोगे ,3
ये एप्प इस्तेमाल करके देखे ,3
यार कही घूमने चलते है ,3
और क्या हालचाल है,3
कैब कहा है भाई ,3
अरे बढ़िया एक हेल्प कर दो सारथी,3
परसों का कोई फ्लाइट टिकट्स दिखाओ अहमदाबाद से ग्वालियर का,3
आज का मौसम बताओ ,3
होटल कौन से इलाके में है ,3
५ मिनट में ऑटो बुक कर सकते हो क्या,3
एक ऑटो बुक कर दो जल्दी ,3
फ्लाइट टिकट अवेलेबल है क्या ,3
कैब कब तक आएगा ,3
सबसे कम टाइम लगने वाली ट्रेन बताओ,3
कल का ट्रैन अवेलेबल है ,3
क्या मेरा फ्लाइट ऑन टाइम है ,3
और सुनाओ ,3
होटल को कितनी रेटिंग मिली है ,3
ट्रेन क्या टाइम स्टेशन पहुंचेगी,3
फटा फट एक कैब बुक करना ,3
पता नहीं कब पैसे वापस आएँगे ,3
ठीक ठाक एप्प लगता है ,3
सबसे सस्ता फ्लाइट का टिकट बुक कर दो इधर से मुंबई का,3
क्या हाल चाल है ,3
ये क्या है ,3
मेरी ट्रैन का स्टेटस पता करो ,3
हाल फिलहाल में बारिश होने वाली है क्या,3
एक काम कर दो,3
क्या इतना खर्च करना सही होगा ,3
मेरा कैब कैंसिल कर दो ,3
अगले महीने की फ्लाइट की टिकट करा दो बेंगलुरु से दिल्ली की,3
कोसिस करनी चाहिए ,3
अभी के अभी बुक करो ,3
तुम ट्रैन का टिकट बुक सकते हो ,3
इधर कोई ३ स्टार होटल है आस पास मै ,3
दिल्ली में बारिश होने वाली है क्या ,3
इधर से बुकिंग क्यों नहीं हो रहा है  ,3
क्या कोई कूपन है तुम्हारे पास ,3
इस एप के बारे में  और बताओ ,3
मै काफी थक गया आज ,3
दिवाली में फ्लाइट्स की रेट काफी मेहेंगी हो जाती है ,3
हम सही रास्ते जा रहे थे ,3
कैसा है तू,3
इधर बारिश हुई थी क्या सुबह ,3
क्या आज धुप पड़ेगी ,3
तुरंत एक कैब बुलाओ ,3
मेरा एक सवाल है  ,3
मेरा एक काम कर दो ,3
और क्या क्या कर सकते हो तुम मेेरे लिए ,3
कल की दिल्ली से मुंबई की कोई ट्रैन टिकट है ,3
सारथी मदद करो ,3
मौसम क्या सुहाना है ,3
आज के दिन काफी सारे काम हो जाते है ,3
समझ नहीं आ रहा यार क्या करूँ मै,3
क्या तुमने खाना खा लिया ,3
होटल तो ठीक ही था,3
एक उबर बुक करो ,3
आज का तापमान क्या है ,3
मेरे को एक मदद चाहिए था,3
एक कैब बुक करदो ,3
फ्लाइट में खाने के लिए भी कुछ बुक कर दो ,3
जल्दी से एक काम करना ,3
चलो यह करके देखें,3
काफी ठण्ड है ,3
बहुत गर्मी है यार यहाँ ,3
इसको भी एक बार चेक करना चाहिए ,3
कैब आने में और कितना टाइम है ,3
जल्दी एक ट्रैन का टिकट बुक करो ,3
बैंगलोर में कोई भी होटल बुक कर दो,3
काम हो गया,3
अब क्या करूँ ,3
कब तक रिचार्ज हो जाएगा मेरा ,3
पैसे लौटने की क्या संभाऊंना है ,3
मेरे अकाउंट से पैसे कैसे कट गए ,3
कब तक चलेंगे  इतने पैसे में ,3
ट्रैन बुकिंग कैसे करू समझ में नहीं आ रहा है ,3
मेरी फ्लाइट का क्या स्टेटस है ,3
 टिकट कन्फर्म है क्या ,3
मैंने जो कैब बुक की थी वह दिखा क्यों नहीं रहा ,3
क्या अभी तुरंत हो जाएगा ,3
मेरा पैक कब तक चलेगा,3
क्या तुम मेरी हेल्प कर सकते हो ,3
बुकिंग कैसे होगा ,3
एक बढ़िया सा होटल बुक करो ,3
मेरे को अपने आस पास की होटल दिखाओ,3
क्या आप बताएंगे मेरे अकाउंट की एक्सपायरी डेट ,3
अंतिम तिथि क्या है मेरे अकाउंट बंद होने की ,3
इधर बुकिंग कैसे  होता है ,3
मै पेमेंट कैसे करू ,3
ये कैसे होगा,3
मेरी फ्लाइट लेट क्यों हुई है ,3
ट्रैन टिकट बुक कर सकता है तू ,3
इतने पैसे में कितने दिन चलेंगे ,3
क्या मुझे लास्ट डेट बताएंगे ,3
मेरा अकाउंट कब तक चलेगा ,3
कब तक ख़त्म हो जायेंगे मेरे अकाउंट के पैसे ,3
सबसे सस्ती फ्लाइट कैसे पता चलेगी ,3
आगे क्या करना समझ नहीं आ रहा है ,3
ये होटल का प्राइस इतना ज़्यादा क्यों दिखा रहा है ,3
