index,Text,Emotion

0,फ्लाइट में बहुत मज़ा आया,1
1,मदद करने के लिए शुक्रिया ,1
2,पैसे डलवाने के लिए धन्यवाद मेरे यार ,1
3,इतना अच्छा सर्विस दिया तो ख़ुशी से मै और पैसे दे दूँ ,1
4,वूहू ! !,1
5,ओए होए ! ! ! ,1
6,यार ये बहुत सही चीज़ है ,1
7,धन्यवाद मैं खुश हुआ ,1
8,बढ़िया काम किया भाई ,1
9,गज़ब का होटल था ,1
10,तुम बहुत अच्छे हो ,1
11,बहुत खूब ,1
12,रिचार्ज करने के लिए धन्यवाद मेरे हीरो ,1
13,बहुत अच्छा भाई ,1
14,यार ये तो मख्खन जैसा काम करता है ,1
15,क्या कमल कर दिया तूने ,1
16,नाइस ,1
17,"मज़ा आ गया भाई , पैसे ख़तम भी हो गए पर चैनल्स अभी भी चल रहे ",1
18,शुक्रिया रिचार्ज करने के लिए दोस्त ,1
19,पैसे डलवाने के लिए शुक्रिया यारा ,1
20,इतने काम पैसे में इतना चैनल्स ,1
21,क्या बात है यार बढ़िया होटल मिल गया ,1
22,यह होटल काफी अच्छा था ,1
23,मै खुश हुआ ,1
24,यीपी ! ! ! मेरा फ्लाइट आखिरकार बुक हो गया ,1
25,वाह लाजवाब ,1
26,मुझे तो ये एप्प बहुत अच्छा लगता है ,1
27,बहुत बढ़िया हुआ कि पैसे समय से पहले आ गए ,1
28,अरे वाह क्या सर्विस है ,1
29,वाओ ! ! मेरी ट्रेन जल्दी आ,1
30,हेल्प करने के लिए धन्यवाद ,1
31,धन्यवाद भाई ,1
32,बेस्ट हो तुम  ,1
33,मेहरबानी आपकी,1
34,वाकई तारीफ के काबिल है ,1
35,थैंक्स ,1
36,तुम बढ़िया हो यार ,1
37,मदद के लिए धन्यवाद ,1
38,ये होटल अच्छा है ,1
39,सारथी की जय हो,1
40,बहुत मज़ा आया ,1
41,हुर्रे मस्त कैब मिल गयी ,1
42,आ हा ! सारथी तुम बेस्ट हो ,1
43,शाबाश ,1
44,तुमने तो कमाल कर दिया ,1
45,बेहतरीन ,1
46,बड़े मज़ेदार हो तुम ,1
47,यू आर गुड ,1
48,थैंक्यू सो मच ,1
49,दिल जीत लिया तूने ,1
50,लाजवाब ,1
51,क्या जोरदार काम किया है भाई,1
52,ये तो अच्छा है ,1
53,तुम्हारे काम की दाद देता हूँ,1
54,थैंकयू सारथी! आय लव यू ! ,1
55,इन चैनल्स की क्लैरिटी सच में बहुत अच्छी है ,1
56,आज तो काफी अच्छा ऑफर चल रहे ,1
57,अच्छे बुकिंग के लिए धन्यवाद ,1
58,सुन्दर एप है ,1
59,गुड सर्विस ,1
60,बहुत ही उन्दा ,1
61,शुक्रिया तुम्हारा ,1
62,धन्यवाद सारथि ,1
63,अच्छी कैब मिल गयी  वाह ! !,1
64,कितना सही अप्प है यार ,1
65,आश्चर्यचकित कर दिया तुमने ,1
66,तू तो बहुत समझदार है ,1
67,वाह यार सही डिस्काउंट चल रहा ,1
68,मस्त बारिश हुई आज वाह ,1
69,धन्यवाद मेरे भाई ,1
70,आय एम इम्प्रेस्सड  ,1
71,तुम्हारी सर्विस से हम खुश है,1
72,माशा अल्लाह ,1
73,वैरी गुड ,1
74,यू आर द बेस्ट,1
75,अरे बढ़िया ,1
76,ऑटो मिल गया  यीपी ,1
77,तुम्हारा कोई जवाब नहीं सारथी,1
78,मै तो बहुत खुश हूँ ये एप्प यूस करके ,1
79,ये मज़ेदार है ,1
80,मेरी यात्रा कुशल मंगल थी धन्यवाद  ,1
81,बैंगलोर की ट्रेन मिल गई यीपी ,1
82,वाह भाई क्या बढ़िया डील मिली है ,1
83,ग्रेट एप ,1
84,थैंक्यू वैरी मच ,1
85,तुमने मन प्रफुल्लित कर दिया ,1
86,तुम बढ़िया हो यार ,1
87,यू अरे सो स्वीट ,1
88,बेहतरीन ऐप है भाई,1
89,आपसे बात करके अच्छा लगा ,1
90,तुम्हारे काम का कोई जवाब नहीं सारथी शाबाश,1
91,सही है ,1
92,मुझे फ्लाइट का टिकट मिल गया वाह ,1
93,आ हा सारथी तुम लाजवाब हो ,1
94,ओए होए ! ! मेरा ट्रैन टिकट बुक हो गया ,1
95,मजा आ गया यार ,1
96,हंसते हंसते मर न जाऊं मै,1
97,ऐसी सर्विस की उम्मीद थी आपसे ,1
98,बहुत अच्छा कैब ड्राइवर था ,1
99,एक नंबर ऑफर मिला है,1
100,तुम बहुत स्मार्ट हो ,1
101,बढ़िया डील मिला हमे ,1
102,तुम तोह काफी इंटेलीजेंट हो ,1
103,काफी मदद कर दी तूने,1
104,क्या बात है ,1
105,माशा अल्लाह क्या काम किया है तुमने ,1
106,मेरा फ्लाइट आखिरकार बुक हो गया हुर्रे ! ! ,1
107,ओए होए सारथी तुमने बहुत अच्छा काम किया,1
108,तुम बड़े मज़ेदार हो ,1
109,अरे वाह ,1
110,बहुत ही बढ़िया ,1
111,होटल तो लाजवाब है ,1
112,क्या सही एप है ये ,1
113,तुम तो लाजवाब हो ,1
114,गुड जॉब ,1
115,आये होये ! ! ! आज तो तूने दिल जीत लिया भाई ,1
116,तुम्हरा कोटि कोटि धन्यवाद मेरा अकाउंट रजिस्टर करने के लिए ,1
117,ऐसे ही सर्विस हमेशा रहे तो क्या बात है ,1
118,मैं बिलकुल संतुष्ट हूँ इनके सर्विस से ,1
119,अच्छा हुआ अकाउंट बंद नहीं हुआ ,1
120,हुर्रे ! ! ! एक नंबर कूपन मिल गया ,1
121,थैंक्स सारथि,1
122,दिल खुश कर दिया तूने ,1
123,आज का मौसम बहुत बढ़िया है यार ,1
124,मन प्रसन्न हो गया मेरा ,1
125,तुम्हरा कोटि कोटि धन्यवाद मेरा मोबाइल नंबर रजिस्टर करने के लिए ,1
126,मेरा ट्रैन टिकट बुक हो गया वाओ ! !  ,1
127,वाओ बैंगलोर की ट्रेन मिल गई,1
128,वाओ ! ! ! यार क्या चीज़ बताई है तुमने,1
129,इतना सुन्दर होटल है ,1
130,यह तो बहुत अच्छा ऐप है,1
131,लाजवाब जगह था वह ,1
132,एक नंबर काम किया है भाई तूने,1
133,वाओ ! !  ,1
134,वूहू ! ! मज़ा आ गया ,1
135,यीपी ! ! ! मै जल्दी घर आ गया ,1
136,हुर्रे ! ! ! क्या डील मिली है !,1
137,कैब ड्राइवर बहुत हेल्पिंग था ,1
138,ये काम बहुत अच्छा किया तूने ,1
139,भाई तूने मेरी बहुत हेल्प की है ,1
140,मस्त होटल था यार ,1
141,अच्छा काम किया भाई ,1
142,खुश हुआ मैं ,1
143,आ हा ! ! ! क्या बात है ,1
144,यीपी  ! ! ! मुझे सस्ती फ्लाइट मिल ,1
145,वाह ! ! ! क्या मौसम है ,1
146,वाह ! ! ! सस्ती चीज बता दी यार,1
147,अरे वाह क्या बात है ,1
148,अरे वाह इतनी जल्दी हो भी गया ,1
149,कितना खूबसूरत होटल था ,1
150,ट्रैन की यात्रा  काफी अच्छी थी ,1
